timestamp,time_elapsed,position_x,position_y,velocity_x,velocity_y,velocity_magnitude,distance_to_boundary,timestamp_camera,fsr_L_raw,fsr_R_raw,fsr_L,fsr_R,timestamp_fsr,error_x_L,error_y_L,error_x_R,error_y_R,timestamp_geomagic,geomagic_velocity_x_L,geomagic_velocity_y_L,geomagic_velocity_x_R,geomagic_velocity_y_R,timestamp_velocity
1769361740.503298,3.745269,9.615389,-11.898726,-1.070777,0.354326,1.127878,1.195691,1769361740.503298,,,,,,20.714731,-11.471263,,,1769361740.431421,6.534569,18.804679,,,1769361740.411697
1769361740.533895,3.775866,9.788499,-11.639791,0.947742,2.786798,2.943545,0.991249,1769361740.533895,,,,,,20.714731,-11.471263,,,1769361740.431421,6.534569,18.804679,,,1769361740.411697
1769361740.563239,3.805210,10.066522,-11.269009,3.505838,5.741529,6.727262,0.681567,1769361740.563239,,,,,,22.813161,-9.458005,,,1769361740.538149,13.993188,22.234781,,,1769361740.526861
1769361740.609679,3.851650,10.310413,-10.971799,4.029611,5.939024,7.177031,0.451923,1769361740.609679,,,,,,22.813161,-9.458005,,,1769361740.538149,13.993188,22.234781,,,1769361740.526861
1769361740.638938,3.880909,10.518330,-10.675809,4.952548,7.192182,8.732423,0.225961,1769361740.638938,,,,,,24.258689,-8.703314,,,1769361740.629662,11.004831,13.165963,,,1769361740.617306
1769361740.670545,3.912516,10.727127,-10.416043,5.448590,7.500098,9.270308,0.032316,1769361740.670545,,,,,,24.258689,-8.703314,,,1769361740.629662,11.004831,13.165963,,,1769361740.617306
1769361740.700646,3.942616,10.935869,-10.156348,5.894475,7.838362,9.807383,0.016158,1769361740.700646,,,,,,24.258689,-8.703314,,,1769361740.629662,11.004831,13.165963,,,1769361740.617306
1769361740.731506,3.973476,11.110559,-9.970104,5.824347,7.297395,9.336754,0.016158,1769361740.731506,,,,,,24.258689,-8.703314,,,1769361740.629662,11.004831,13.165963,,,1769361740.617306
1769361740.780558,4.022529,11.249344,-9.785005,4.925836,6.240221,7.950108,0.016158,1769361740.780558,,,,,,25.659004,-8.147659,,,1769361740.738129,8.539160,10.646445,,,1769361740.718666
1769361740.808700,4.050671,11.388104,-9.599939,4.927305,6.340994,8.030351,0.016158,1769361740.808700,,,,,,25.659004,-8.147659,,,1769361740.738129,8.539160,10.646445,,,1769361740.718666
1769361740.842415,4.084385,11.527777,-9.451035,4.691960,5.763696,7.432003,0.016158,1769361740.842415,,,,,,27.106079,-7.667807,,,1769361740.821256,8.539160,10.646445,,,1769361740.718666
1769361740.872875,4.114846,11.527777,-9.451035,3.284372,4.034587,5.202402,0.016158,1769361740.872875,,,,,,27.106079,-7.667807,,,1769361740.821256,8.470667,10.359347,,,1769361740.820753
1769361740.902659,4.144629,11.532458,-9.631674,2.346216,1.004716,2.552289,0.016158,1769361740.902659,,,,,,27.106079,-7.667807,,,1769361740.821256,8.470667,10.359347,,,1769361740.820753
1769361740.943295,4.185266,11.431453,-9.887880,0.896676,-1.188148,1.488531,0.016158,1769361740.943295,,,,,,28.075733,-6.622319,,,1769361740.924145,4.189625,15.306503,,,1769361740.923144
1769361740.978350,4.220321,11.226594,-10.291989,-1.125496,-4.290045,4.435226,0.016158,1769361740.978350,,,,,,28.075733,-6.622319,,,1769361740.924145,4.189625,15.306503,,,1769361740.923144
1769361741.007167,4.249137,10.988618,-10.805745,-3.265369,-8.351641,8.967305,0.016158,1769361741.007167,,,,,,28.075733,-6.622319,,,1769361740.924145,4.189625,15.306503,,,1769361740.923144
1769361741.040760,4.282731,10.852599,-11.099390,-3.500458,-8.468511,9.163454,0.016158,1769361741.040760,,,,,,28.075733,-6.622319,,,1769361740.924145,4.189625,15.306503,,,1769361740.923144
1769361741.070460,4.312431,10.821404,-11.281235,-2.765428,-7.764770,8.242527,0.016158,1769361741.070460,,,,,,28.174665,-6.103871,,,1769361741.046169,-2.605669,10.719995,,,1769361741.021924
1769361741.102236,4.344206,10.821404,-11.281235,-1.935800,-5.435339,5.769769,0.016158,1769361741.102236,,,,,,28.174665,-6.103871,,,1769361741.046169,-2.605669,10.719995,,,1769361741.021924
