timestamp,leftDistance,rightDistance,collisionFrames,fitEvents,currentFPS
126.093,0,0,15537,3,146.95
126.182,0,0,15552,3,168.24
126.283,0,0,15566,3,139.08
126.399,0,0,15583,3,146.24
126.48,0,0,15597,3,172.56
126.585,0,0,15612,3,143.62
126.7,0,0,15629,3,147.01
126.784,0,0,15643,3,167.95
126.882,0,0,15657,3,141.8
126.985,0,0,15675,3,175.11
127.08,0,0,15688,3,136.66
127.184,0,0,15702,3,135.12
127.284,0,0,15720,3,179.14
127.384,0,0,15734,3,139.91
127.481,0,0,15748,3,145.18
127.583,0,0,15766,3,176.27
127.685,0,0,15781,3,146.91
127.783,0,0,15795,3,143.14
127.883,0,0,15813,3,178.77
127.983,0,0,15827,3,140.74
128.086,0,0,15842,3,144.87
128.184,0,0,15859,3,174.32
128.281,0,0,15872,3,133.87
128.385,0,0,15886,3,134.25
128.482,0,0,15903,3,176.22
128.581,0,0,15917,3,140.87
128.694,0,0,15934,3,150.81
128.783,0,0,15949,3,167.6
128.88,0,0,15963,3,144.46
128.995,0,0,15980,3,147.75
129.08,0,0,15995,3,176.81
129.184,0,0,16010,3,145
129.3,0,0,16028,3,154.36
129.385,0,0,16043,3,177.23
129.481,0,0,16056,3,135.99
129.603,0,0,16073,3,139.09
129.682,0,0,16085,3,152.31
129.784,0,0,16100,3,146.76
129.881,0,0,16117,3,174.17
129.984,0,0,16132,3,146.3
130.081,0,0,16146,3,143.52
130.182,0,0,16164,3,178.69
130.282,0,0,16179,3,149.64
130.38,0,0,16193,3,143.16
130.481,0,0,16210,3,168.95
130.581,0,0,16224,3,139.23
130.684,0,0,16239,3,146.55
130.782,0,0,16256,3,173.67
130.88,0,0,16270,3,141.76
130.982,0,0,16285,3,148.27
131.083,0,0,16303,3,177.77
131.182,0,0,16317,3,140.54
131.29,0,0,16332,3,139.29
131.381,0,0,16347,3,164.77
131.483,0,0,16361,3,137.24
131.592,0,0,16376,3,137.65
131.683,0,0,16392,3,176.8
131.785,0,0,16407,3,146.56
131.896,0,0,16424,3,153.06
131.982,0,0,16439,3,175.26
132.083,0,0,16454,3,147.61
132.2,0,0,16472,3,154.68
132.282,0,0,16486,3,170.57
132.384,0,0,16500,3,137.52
132.484,0,0,16517,3,169.96
132.583,0,0,16531,3,141.28
132.684,0,0,16546,3,147.35
132.781,0,0,16563,3,175.35
132.885,0,0,16578,3,144.79
132.983,0,0,16592,3,143.45
133.085,0,0,16610,3,175.13
133.183,0,0,16624,3,143.05
133.284,0,0,16638,3,139.61
133.383,0,0,16655,3,170.58
133.48,0,0,16669,3,144.02
133.582,0,0,16684,3,148.29
133.684,0,0,16702,3,175.04
133.782,0,0,16716,3,142.71
133.89,0,0,16732,3,149.18
133.981,0,0,16748,3,174.42
134.083,0,0,16762,3,137.55
134.198,0,0,16778,3,139.9
134.282,0,0,16791,3,154.77
134.383,0,0,16804,3,128.44
134.482,0,0,16820,3,160.83
134.583,0,0,16833,3,129.61
134.681,0,0,16846,3,132.64
134.782,0,0,16864,3,176.67
134.88,0,0,16878,3,142.89
134.984,0,0,16893,3,145.28
135.082,0,0,16910,3,173.63
135.18,0,0,16924,3,141.69
135.282,0,0,16938,3,138.39
135.384,0,0,16955,3,166.35
135.484,0,0,16969,3,139.32
135.584,0,0,16983,3,140.51
135.681,0,0,17000,3,175.47
135.783,0,0,17014,3,137.64
135.886,0,0,17029,3,144.89
135.98,0,0,17045,3,169.61
136.085,0,0,17060,3,143.8
136.19,0,0,17075,3,142.31
136.284,0,0,17091,3,170.84
136.381,0,0,17104,3,133.19
136.491,0,0,17119,3,136.93
136.583,0,0,17135,3,173.35
136.68,0,0,17149,3,144.01
136.796,0,0,17166,3,146.73
136.882,0,0,17181,3,174.83
136.981,0,0,17195,3,141.59
137.082,0,0,17213,3,178.68
137.18,0,0,17227,3,141.73
137.283,0,0,17242,3,145.97
137.385,0,0,17259,3,167.46
137.484,0,0,17272,3,131.63
137.584,0,0,17286,3,139.89
137.685,0,0,17304,3,178.1
137.783,0,0,17318,3,142.85
137.881,0,0,17332,3,142.84
137.98,0,0,17349,3,171.05
138.084,0,0,17364,3,144.13
138.183,0,0,17378,3,141.21
138.28,0,0,17395,3,174.91
138.383,0,0,17409,3,136.34
138.48,0,0,17422,3,133.73
138.582,0,0,17439,3,166.9
138.682,0,0,17453,3,140.23
138.788,0,0,17468,3,142.01
138.885,0,0,17485,3,174.1
138.984,0,0,17499,3,141.61
139.092,0,0,17515,3,148.72
139.185,0,0,17531,3,172.34
139.281,0,0,17545,3,144.73
139.404,0,0,17563,3,146.92
139.484,0,0,17577,3,173.98
139.584,0,0,17590,3,129.95
139.682,0,0,17607,3,174.72
139.781,0,0,17621,3,140.67
139.883,0,0,17635,3,137.27
139.983,0,0,17652,3,170.55
140.081,0,0,17666,3,142.07
140.182,0,0,17680,3,138.56
140.284,0,0,17698,3,176.97
140.384,0,0,17712,3,140.93
140.484,0,0,17726,3,138.77
140.585,0,0,17743,3,168.6
140.682,0,0,17756,3,133.91
140.787,0,0,17771,3,143.74
140.884,0,0,17788,3,174.06
140.982,0,0,17802,3,143.71
141.08,0,0,17816,3,142.24
141.185,0,0,17834,3,172.46
141.283,0,0,17848,3,141.77
141.387,0,0,17863,3,144.91
141.485,0,0,17880,3,173.23
141.582,0,0,17893,3,134.11
