timestamp,time_elapsed,position_x,position_y,velocity_x,velocity_y,velocity_magnitude,distance_to_boundary,timestamp_camera,fsr_analog,fsr_digital,timestamp_fsr,error_x_L,error_y_L,error_x_R,error_y_R,timestamp_geomagic,geomagic_velocity_x_L,geomagic_velocity_y_L,geomagic_velocity_x_R,geomagic_velocity_y_R,timestamp_velocity
1765807801.743364,3.536452,8.517422,-8.507893,0.496921,0.014347,0.497128,1.359451,1765807801.743364,,,,,,0.042650,0.237794,1765807801.631667,,,-1.062712,1.871850,1765807801.631667
1765807801.868148,3.661236,8.587128,-8.504203,0.515429,0.018914,0.515775,1.356019,1765807801.868148,,,,,,0.046382,0.506865,1765807801.858159,,,-0.618484,2.590256,1765807801.731679
1765807801.900662,3.693750,8.587128,-8.504203,0.360800,0.013240,0.361043,1.356019,1765807801.900662,,,,,,0.046382,0.506865,1765807801.858159,,,-0.029626,3.237100,1765807801.831775
1765807801.929972,3.723060,8.587128,-8.504203,0.252560,0.009268,0.252730,1.356019,1765807801.929972,,,,,,0.046382,0.506865,1765807801.858159,,,-0.029626,3.237100,1765807801.831775
1765807801.960108,3.753196,8.655028,-8.465667,0.852737,0.390111,0.937735,1.339610,1765807801.960108,,,,,,0.047735,0.485256,1765807801.951595,,,-0.029626,3.237100,1765807801.831775
1765807802.012526,3.805614,8.655028,-8.465667,0.596916,0.273077,0.656415,1.339610,1765807802.012526,,,,,,0.047735,0.485256,1765807801.951595,,,-0.019377,2.264358,1765807801.931550
1765807802.052682,3.845771,8.724721,-8.461980,0.938504,0.218699,0.963648,1.352336,1765807802.052682,,,,,,-0.112633,0.511772,1765807802.044422,,,-1.600924,1.822940,1765807802.032877
1765807802.086939,3.880027,8.724721,-8.461980,0.656953,0.153089,0.674554,1.352336,1765807802.086939,,,,,,-0.112633,0.511772,1765807802.044422,,,-1.600924,1.822940,1765807802.032877
1765807802.115978,3.909066,8.724721,-8.461980,0.459867,0.107162,0.472188,1.352336,1765807802.115978,,,,,,-0.112633,0.511772,1765807802.044422,,,-1.600924,1.822940,1765807802.032877
1765807802.144921,3.938010,8.755974,-8.390445,0.645843,0.816476,1.041031,1.277909,1765807802.144921,,,,,,-0.112633,0.511772,1765807802.044422,,,-1.600924,1.822940,1765807802.032877
1765807802.267790,4.060879,8.755974,-8.390445,0.452090,0.571533,0.728722,1.277909,1765807802.267790,,,,,,-0.014967,0.672758,1765807802.235706,,,-0.010721,2.131361,1765807802.234716
1765807802.300847,4.093935,8.822068,-8.317070,0.916286,1.065967,1.405654,1.265383,1765807802.300847,,,,,,-0.014967,0.672758,1765807802.235706,,,-0.010721,2.131361,1765807802.234716
1765807802.331299,4.124388,8.853320,-8.245537,0.949278,1.450885,1.733838,1.220492,1765807802.331299,,,,,,-0.014967,0.672758,1765807802.235706,,,-0.010721,2.131361,1765807802.234716
1765807802.363859,4.156948,8.849731,-8.175839,0.631429,1.657797,1.773977,1.168987,1765807802.363859,,,,,,-0.004459,0.929556,1765807802.353323,,,0.092923,3.853888,1765807802.339845
1765807802.397189,4.190277,8.880984,-8.104303,0.723307,1.804352,1.943929,1.136971,1765807802.397189,,,,,,-0.004459,0.929556,1765807802.353323,,,0.092923,3.853888,1765807802.339845
1765807802.523690,4.316779,8.912237,-8.032767,0.580431,1.432695,1.545806,1.092080,1765807802.523690,,,,,,-0.056479,0.972926,1765807802.438564,,,-0.475266,3.725950,1765807802.438564
1765807802.562249,4.355337,8.943491,-7.961230,0.649469,1.559472,1.689309,1.066327,1765807802.562249,,,,,,-0.208303,0.898381,1765807802.553736,,,-1.486568,2.174404,1765807802.538578
1765807802.592852,4.385941,8.938110,-7.856667,0.401882,2.116654,2.154469,0.985237,1765807802.592852,,,,,,-0.208303,0.898381,1765807802.553736,,,-1.486568,2.174404,1765807802.538578
1765807802.651704,4.444792,8.969365,-7.785126,0.440641,1.846341,1.898194,0.966098,1765807802.651704,,,,,,-0.225109,0.831662,1765807802.640667,,,-1.019952,0.816440,1765807802.639165
1765807802.685379,4.478467,8.997035,-7.643867,0.554949,2.550861,2.610529,0.904146,1765807802.685379,,,,,,-0.225109,0.831662,1765807802.640667,,,-1.019952,0.816440,1765807802.639165
1765807802.715159,4.508247,9.026499,-7.537462,0.685282,2.857528,2.938550,0.861684,1765807802.715159,,,,,,-0.225109,0.831662,1765807802.640667,,,-1.019952,0.816440,1765807802.639165
1765807802.747197,4.540285,9.021122,-7.432872,0.429350,2.979635,3.010410,0.813260,1765807802.747197,,,,,,-0.369212,0.918652,1765807802.745197,,,-1.726801,1.175763,1765807802.744191
1765807802.779460,4.572548,9.050589,-7.326457,0.574542,3.075254,3.128464,0.790689,1765807802.779460,,,,,,-0.369212,0.918652,1765807802.745197,,,-1.726801,1.175763,1765807802.744191
1765807802.808456,4.601545,9.045212,-7.221851,0.346550,3.234941,3.253451,0.742316,1765807802.808456,,,,,,-0.369212,0.918652,1765807802.745197,,,-1.726801,1.175763,1765807802.744191
1765807802.840495,4.633584,9.076472,-7.150298,0.535296,2.934455,2.982880,0.736053,1765807802.840495,,,,,,-0.369212,0.918652,1765807802.745197,,,-1.726801,1.175763,1765807802.744191
1765807802.869824,4.662913,9.071096,-7.045681,0.319719,3.124227,3.140544,0.668089,1765807802.869824,,,,,,-0.292092,1.094067,1765807802.843645,,,-0.449387,2.430222,1765807802.842495
1765807802.922521,4.715609,9.100566,-6.939248,0.391572,2.792877,2.820193,0.678135,1765807802.922521,,,,,,-0.292092,1.094067,1765807802.843645,,,-0.449387,2.430222,1765807802.842495
1765807802.964644,4.757733,9.096983,-6.869494,0.248583,2.451793,2.464362,0.665409,1765807802.964644,,,,,,-0.234562,1.148894,1765807802.949104,,,-0.449387,2.430222,1765807802.842495
1765807802.995333,4.788422,9.128246,-6.797934,0.479620,2.415792,2.462943,0.668089,1765807802.995333,,,,,,-0.234562,1.148894,1765807802.949104,,,0.222077,2.136113,1765807802.948104
1765807803.028032,4.821121,9.124663,-6.728174,0.302862,2.331080,2.350672,0.652182,1765807803.028032,,,,,,-0.234562,1.148894,1765807802.949104,,,0.222077,2.136113,1765807802.948104
1765807803.059437,4.852525,9.155928,-6.656610,0.510660,2.315373,2.371018,0.671772,1765807803.059437,,,,,,-0.260943,1.087478,1765807803.044578,,,-0.226853,1.032149,1765807803.043587
1765807803.180480,4.973569,9.187191,-6.585047,0.434946,1.798127,1.849983,0.684197,1765807803.180480,,,,,,-0.236848,1.099167,1765807803.158454,,,0.225323,0.441151,1765807803.143969
1765807803.214558,5.007646,9.218455,-6.513483,0.579699,1.888708,1.975669,0.694042,1765807803.214558,,,,,,-0.236848,1.099167,1765807803.158454,,,0.225323,0.441151,1765807803.143969
1765807803.246351,5.039439,9.218455,-6.513483,0.405789,1.322095,1.382968,0.694042,1765807803.246351,,,,,,-0.196422,1.074765,1765807803.244620,,,0.444991,0.086087,1765807803.243619
1765807803.279140,5.072228,9.247931,-6.407033,0.553730,1.899408,1.978476,0.691111,1765807803.279140,,,,,,-0.196422,1.074765,1765807803.244620,,,0.444991,0.086087,1765807803.243619
1765807803.309466,5.102554,9.279195,-6.335467,0.696896,2.037557,2.153440,0.707519,1765807803.309466,,,,,,-0.196422,1.074765,1765807803.244620,,,0.444991,0.086087,1765807803.243619
1765807803.339736,5.132824,9.279195,-6.335467,0.487828,1.426290,1.507408,0.707519,1765807803.339736,,,,,,-0.196422,1.074765,1765807803.244620,,,0.444991,0.086087,1765807803.243619
1765807803.369514,5.162603,9.310460,-6.263901,0.656455,1.719382,1.840437,0.727109,1765807803.369514,,,,,,-0.234852,1.194544,1765807803.358401,,,0.003749,1.262560,1765807803.345238
1765807803.399705,5.192793,9.310460,-6.263901,0.459519,1.203567,1.288306,0.727109,1765807803.399705,,,,,,-0.234852,1.194544,1765807803.358401,,,0.003749,1.262560,1765807803.345238
1765807803.437329,5.230417,9.306883,-6.194122,0.293140,1.398891,1.429275,0.739836,1765807803.437329,,,,,,-0.234852,1.194544,1765807803.358401,,,0.003749,1.262560,1765807803.345238
1765807803.478106,5.271194,9.306883,-6.194122,0.205198,0.979224,1.000492,0.739836,1765807803.478106,,,,,,-0.191159,1.336218,1765807803.466563,,,0.003749,1.262560,1765807803.345238
1765807803.505445,5.298533,9.338148,-6.122553,0.486723,1.470802,1.549244,0.784877,1765807803.505445,,,,,,-0.191159,1.336218,1765807803.466563,,,0.443543,2.059806,1765807803.445351
1765807803.536940,5.330029,9.338148,-6.122553,0.340706,1.029561,1.084471,0.784877,1765807803.536940,,,,,,-0.191159,1.336218,1765807803.466563,,,0.443543,2.059806,1765807803.445351
1765807803.569775,5.362864,9.338148,-6.122553,0.238494,0.720693,0.759130,0.784877,1765807803.569775,,,,,,-0.191159,1.336218,1765807803.466563,,,0.443543,2.059806,1765807803.445351
1765807803.708210,5.501299,9.338148,-6.122553,0.166946,0.504485,0.531391,0.784877,1765807803.708210,,,,,,-0.211853,1.470741,1765807803.647272,,,0.000000,2.264749,1765807803.646272
1765807803.739290,5.532378,9.338148,-6.122553,0.116862,0.353140,0.371974,0.784877,1765807803.739290,,,,,,-0.211853,1.470741,1765807803.647272,,,0.000000,2.264749,1765807803.646272
1765807803.771341,5.564429,9.338148,-6.122553,0.081803,0.247198,0.260381,0.784877,1765807803.771341,,,,,,-0.222719,1.513238,1765807803.760808,,,-0.104624,1.815652,1765807803.749276
1765807803.837030,5.630118,9.264880,-6.056337,-0.277350,0.475447,0.550430,0.701156,1765807803.837030,,,,,,-0.222719,1.513238,1765807803.760808,,,-0.104624,1.815652,1765807803.749276
1765807803.878420,5.671509,9.264880,-6.056337,-0.194145,0.332813,0.385301,0.701156,1765807803.878420,,,,,,-0.211888,1.575847,1765807803.868078,,,0.000691,1.845520,1765807803.848433
1765807803.964648,5.757736,9.264880,-6.056337,-0.135901,0.232969,0.269711,0.701156,1765807803.964648,,,,,,-0.211797,1.676110,1765807803.960621,,,0.000691,1.845520,1765807803.848433
1765807804.000357,5.793445,9.264880,-6.056337,-0.095131,0.163078,0.188797,0.701156,1765807804.000357,,,,,,-0.211797,1.676110,1765807803.960621,,,0.000903,2.184101,1765807803.948878
1765807804.030964,5.824053,9.264880,-6.056337,-0.066592,0.114155,0.132158,0.701156,1765807804.030964,,,,,,-0.211797,1.676110,1765807803.960621,,,0.000903,2.184101,1765807803.948878
